"","year","statecode","measure","value"
"612",2017,"KY","Homeownership Rate",70.1
"613",1984,"LA","Homeownership Rate",70.1
"614",1985,"LA","Homeownership Rate",70.2
"615",1986,"LA","Homeownership Rate",70.4
"616",1987,"LA","Homeownership Rate",71
"617",1988,"LA","Homeownership Rate",68.5
"618",1989,"LA","Homeownership Rate",66.3
"619",1990,"LA","Homeownership Rate",67.8
"620",1991,"LA","Homeownership Rate",68.9
"621",1992,"LA","Homeownership Rate",66.7
"622",1993,"LA","Homeownership Rate",65.4
"623",1994,"LA","Homeownership Rate",65.8
"624",1995,"LA","Homeownership Rate",65.3
"625",1996,"LA","Homeownership Rate",64.9
"626",1997,"LA","Homeownership Rate",66.4
"627",1998,"LA","Homeownership Rate",66.6
"628",1999,"LA","Homeownership Rate",66.8
"629",2000,"LA","Homeownership Rate",68.1
"630",2001,"LA","Homeownership Rate",67.1
"631",2002,"LA","Homeownership Rate",67.4
"632",2003,"LA","Homeownership Rate",67.5
"633",2004,"LA","Homeownership Rate",70.6
"634",2005,"LA","Homeownership Rate",72.5
"635",2006,"LA","Homeownership Rate",71.3
"636",2007,"LA","Homeownership Rate",71.5
"637",2008,"LA","Homeownership Rate",73.5
"638",2009,"LA","Homeownership Rate",71.9
"639",2010,"LA","Homeownership Rate",70.4
"640",2011,"LA","Homeownership Rate",70.1
"641",2012,"LA","Homeownership Rate",68.7
"642",2013,"LA","Homeownership Rate",67.8
"643",2014,"LA","Homeownership Rate",65.3
"644",2015,"LA","Homeownership Rate",63.3
"645",2016,"LA","Homeownership Rate",64.2
"646",2017,"LA","Homeownership Rate",66.1
"647",1984,"ME","Homeownership Rate",74.1
"648",1985,"ME","Homeownership Rate",73.7
"649",1986,"ME","Homeownership Rate",74
"650",1987,"ME","Homeownership Rate",73.2
"651",1988,"ME","Homeownership Rate",72.2
"652",1989,"ME","Homeownership Rate",73.6
"653",1990,"ME","Homeownership Rate",74.2
"654",1991,"ME","Homeownership Rate",72
"655",1992,"ME","Homeownership Rate",72
"656",1993,"ME","Homeownership Rate",71.9
"657",1994,"ME","Homeownership Rate",72.6
"658",1995,"ME","Homeownership Rate",76.7
"659",1996,"ME","Homeownership Rate",76.5
"660",1997,"ME","Homeownership Rate",74.9
"661",1998,"ME","Homeownership Rate",74.6
"662",1999,"ME","Homeownership Rate",77.4
"663",2000,"ME","Homeownership Rate",76.5
"664",2001,"ME","Homeownership Rate",75.5
"665",2002,"ME","Homeownership Rate",74
"666",2003,"ME","Homeownership Rate",73.7
"667",2004,"ME","Homeownership Rate",74.7
"668",2005,"ME","Homeownership Rate",73.9
"669",2006,"ME","Homeownership Rate",75.3
"670",2007,"ME","Homeownership Rate",74.3
"671",2008,"ME","Homeownership Rate",73.9
"672",2009,"ME","Homeownership Rate",74
"673",2010,"ME","Homeownership Rate",73.8
"674",2011,"ME","Homeownership Rate",73.9
"675",2012,"ME","Homeownership Rate",74.1
"676",2013,"ME","Homeownership Rate",73.5
"677",2014,"ME","Homeownership Rate",71
"678",2015,"ME","Homeownership Rate",69.9
"679",2016,"ME","Homeownership Rate",72.6
"680",2017,"ME","Homeownership Rate",71
"681",1984,"MD","Homeownership Rate",67.8
"682",1985,"MD","Homeownership Rate",65.6
"683",1986,"MD","Homeownership Rate",62.8
"684",1987,"MD","Homeownership Rate",62.7
"685",1988,"MD","Homeownership Rate",63.5
"686",1989,"MD","Homeownership Rate",65.5
"687",1990,"MD","Homeownership Rate",64.9
"688",1991,"MD","Homeownership Rate",63.8
"689",1992,"MD","Homeownership Rate",64.8
"690",1993,"MD","Homeownership Rate",65.5
"691",1994,"MD","Homeownership Rate",64.1
"692",1995,"MD","Homeownership Rate",65.8
"693",1996,"MD","Homeownership Rate",66.9
"694",1997,"MD","Homeownership Rate",70.5
"695",1998,"MD","Homeownership Rate",68.7
"696",1999,"MD","Homeownership Rate",69.6
"697",2000,"MD","Homeownership Rate",69.9
"698",2001,"MD","Homeownership Rate",70.7
"699",2002,"MD","Homeownership Rate",72
"700",2003,"MD","Homeownership Rate",71.6
"701",2004,"MD","Homeownership Rate",72.1
"702",2005,"MD","Homeownership Rate",71.2
"703",2006,"MD","Homeownership Rate",72.6
"704",2007,"MD","Homeownership Rate",71.7
"705",2008,"MD","Homeownership Rate",70.6
"706",2009,"MD","Homeownership Rate",69.6
"707",2010,"MD","Homeownership Rate",68.9
"708",2011,"MD","Homeownership Rate",69.7
"709",2012,"MD","Homeownership Rate",68.5
"710",2013,"MD","Homeownership Rate",66.9
"711",2014,"MD","Homeownership Rate",66.2
"712",2015,"MD","Homeownership Rate",67.1
"713",2016,"MD","Homeownership Rate",66.5
"714",2017,"MD","Homeownership Rate",66.9
"715",1984,"MA","Homeownership Rate",61.7
"716",1985,"MA","Homeownership Rate",60.5
"717",1986,"MA","Homeownership Rate",60.3
"718",1987,"MA","Homeownership Rate",60.6
"719",1988,"MA","Homeownership Rate",60
"720",1989,"MA","Homeownership Rate",58.9
"721",1990,"MA","Homeownership Rate",58.6
"722",1991,"MA","Homeownership Rate",60.2
"723",1992,"MA","Homeownership Rate",61.8
"724",1993,"MA","Homeownership Rate",60.7
"725",1994,"MA","Homeownership Rate",60.6
"726",1995,"MA","Homeownership Rate",60.2
"727",1996,"MA","Homeownership Rate",61.7
"728",1997,"MA","Homeownership Rate",62.3
"729",1998,"MA","Homeownership Rate",61.3
"730",1999,"MA","Homeownership Rate",60.3
"731",2000,"MA","Homeownership Rate",59.9
"732",2001,"MA","Homeownership Rate",60.6
"733",2002,"MA","Homeownership Rate",62.6
"734",2003,"MA","Homeownership Rate",64.3
"735",2004,"MA","Homeownership Rate",63.8
"736",2005,"MA","Homeownership Rate",63.4
"737",2006,"MA","Homeownership Rate",65.2
"738",2007,"MA","Homeownership Rate",64.3
"739",2008,"MA","Homeownership Rate",65.7
"740",2009,"MA","Homeownership Rate",65.1
"741",2010,"MA","Homeownership Rate",65.3
"742",2011,"MA","Homeownership Rate",65.3
"743",2012,"MA","Homeownership Rate",65.8
"744",2013,"MA","Homeownership Rate",65.3
"745",2014,"MA","Homeownership Rate",63
"746",2015,"MA","Homeownership Rate",60.5
"747",2016,"MA","Homeownership Rate",59.7
"748",2017,"MA","Homeownership Rate",60
"749",1984,"MI","Homeownership Rate",72.7
"750",1985,"MI","Homeownership Rate",70.7
"751",1986,"MI","Homeownership Rate",70.9
"752",1987,"MI","Homeownership Rate",71.7
"753",1988,"MI","Homeownership Rate",72.5
"754",1989,"MI","Homeownership Rate",73.2
"755",1990,"MI","Homeownership Rate",72.3
"756",1991,"MI","Homeownership Rate",70.6
"757",1992,"MI","Homeownership Rate",70.6
"758",1993,"MI","Homeownership Rate",72.3
"759",1994,"MI","Homeownership Rate",72
"760",1995,"MI","Homeownership Rate",72.2
"761",1996,"MI","Homeownership Rate",73.3
"762",1997,"MI","Homeownership Rate",73.3
"763",1998,"MI","Homeownership Rate",74.4
"764",1999,"MI","Homeownership Rate",76.5
"765",2000,"MI","Homeownership Rate",77.2
"766",2001,"MI","Homeownership Rate",77.1
"767",2002,"MI","Homeownership Rate",76
"768",2003,"MI","Homeownership Rate",75.6
"769",2004,"MI","Homeownership Rate",77.1
"770",2005,"MI","Homeownership Rate",76.4
"771",2006,"MI","Homeownership Rate",77.4
"772",2007,"MI","Homeownership Rate",76.4
"773",2008,"MI","Homeownership Rate",75.9
"774",2009,"MI","Homeownership Rate",74.5
"775",2010,"MI","Homeownership Rate",74.5
"776",2011,"MI","Homeownership Rate",74.1
"777",2012,"MI","Homeownership Rate",74.8
"778",2013,"MI","Homeownership Rate",73.9
"779",2014,"MI","Homeownership Rate",73.8
"780",2015,"MI","Homeownership Rate",74.6
"781",2016,"MI","Homeownership Rate",72.8
"782",2017,"MI","Homeownership Rate",72.9
"783",1984,"MN","Homeownership Rate",72.6
"784",1985,"MN","Homeownership Rate",70
"785",1986,"MN","Homeownership Rate",68
"786",1987,"MN","Homeownership Rate",68.9
"787",1988,"MN","Homeownership Rate",69.1
"788",1989,"MN","Homeownership Rate",68.3
"789",1990,"MN","Homeownership Rate",68
"790",1991,"MN","Homeownership Rate",68.9
"791",1992,"MN","Homeownership Rate",66.7
"792",1993,"MN","Homeownership Rate",65.8
"793",1994,"MN","Homeownership Rate",68.9
"794",1995,"MN","Homeownership Rate",73.3
"795",1996,"MN","Homeownership Rate",75.4
"796",1997,"MN","Homeownership Rate",75.4
"797",1998,"MN","Homeownership Rate",75.4
"798",1999,"MN","Homeownership Rate",76.1
"799",2000,"MN","Homeownership Rate",76.1
"800",2001,"MN","Homeownership Rate",76.1
"801",2002,"MN","Homeownership Rate",77.3
"802",2003,"MN","Homeownership Rate",77.2
"803",2004,"MN","Homeownership Rate",76.4
"804",2005,"MN","Homeownership Rate",76.5
"805",2006,"MN","Homeownership Rate",75.6
"806",2007,"MN","Homeownership Rate",73.5
"807",2008,"MN","Homeownership Rate",73.1
"808",2009,"MN","Homeownership Rate",72.9
"809",2010,"MN","Homeownership Rate",72.6
"810",2011,"MN","Homeownership Rate",71.3
"811",2012,"MN","Homeownership Rate",72
"812",2013,"MN","Homeownership Rate",73.4
"813",2014,"MN","Homeownership Rate",71.4
"814",2015,"MN","Homeownership Rate",70.1
"815",2016,"MN","Homeownership Rate",72.4
"816",2017,"MN","Homeownership Rate",72.7
"817",1984,"MS","Homeownership Rate",72.3
"818",1985,"MS","Homeownership Rate",69.6
"819",1986,"MS","Homeownership Rate",70.4
"820",1987,"MS","Homeownership Rate",72.5
"821",1988,"MS","Homeownership Rate",73.7
"822",1989,"MS","Homeownership Rate",72.2
"823",1990,"MS","Homeownership Rate",69.4
"824",1991,"MS","Homeownership Rate",71.8
"825",1992,"MS","Homeownership Rate",70.4
"826",1993,"MS","Homeownership Rate",69.7
"827",1994,"MS","Homeownership Rate",69.2
"828",1995,"MS","Homeownership Rate",71.1
"829",1996,"MS","Homeownership Rate",73
"830",1997,"MS","Homeownership Rate",73.7
"831",1998,"MS","Homeownership Rate",75.1
"832",1999,"MS","Homeownership Rate",74.9
"833",2000,"MS","Homeownership Rate",75.2
"834",2001,"MS","Homeownership Rate",74.5
"835",2002,"MS","Homeownership Rate",74.9
"836",2003,"MS","Homeownership Rate",73.4
"837",2004,"MS","Homeownership Rate",74
"838",2005,"MS","Homeownership Rate",78.8
"839",2006,"MS","Homeownership Rate",76.2
"840",2007,"MS","Homeownership Rate",74
"841",2008,"MS","Homeownership Rate",75.4
"842",2009,"MS","Homeownership Rate",75.5
"843",2010,"MS","Homeownership Rate",74.8
"844",2011,"MS","Homeownership Rate",74.8
"845",2012,"MS","Homeownership Rate",74.2
"846",2013,"MS","Homeownership Rate",74.2
"847",2014,"MS","Homeownership Rate",73.2
"848",2015,"MS","Homeownership Rate",70.7
"849",2016,"MS","Homeownership Rate",69.7
"850",2017,"MS","Homeownership Rate",71
"851",1984,"MO","Homeownership Rate",69.5
"852",1985,"MO","Homeownership Rate",69.2
"853",1986,"MO","Homeownership Rate",67.8
"854",1987,"MO","Homeownership Rate",66.1
"855",1988,"MO","Homeownership Rate",64.8
"856",1989,"MO","Homeownership Rate",63.7
"857",1990,"MO","Homeownership Rate",64
"858",1991,"MO","Homeownership Rate",64.2
"859",1992,"MO","Homeownership Rate",65.2
"860",1993,"MO","Homeownership Rate",66.4
"861",1994,"MO","Homeownership Rate",68.4
"862",1995,"MO","Homeownership Rate",69.4
"863",1996,"MO","Homeownership Rate",70.2
"864",1997,"MO","Homeownership Rate",70.5
"865",1998,"MO","Homeownership Rate",70.7
"866",1999,"MO","Homeownership Rate",72.9
"867",2000,"MO","Homeownership Rate",74.2
"868",2001,"MO","Homeownership Rate",74
"869",2002,"MO","Homeownership Rate",74.8
"870",2003,"MO","Homeownership Rate",74
"871",2004,"MO","Homeownership Rate",72.4
"872",2005,"MO","Homeownership Rate",72.3
"873",2006,"MO","Homeownership Rate",71.9
"874",2007,"MO","Homeownership Rate",70.4
"875",2008,"MO","Homeownership Rate",71.4
"876",2009,"MO","Homeownership Rate",72
"877",2010,"MO","Homeownership Rate",71.2
"878",2011,"MO","Homeownership Rate",71.1
"879",2012,"MO","Homeownership Rate",70.8
"880",2013,"MO","Homeownership Rate",71.3
"881",2014,"MO","Homeownership Rate",70.5
"882",2015,"MO","Homeownership Rate",68.5
"883",2016,"MO","Homeownership Rate",66.7
"884",2017,"MO","Homeownership Rate",67.6
"885",1984,"MT","Homeownership Rate",66.4
"886",1985,"MT","Homeownership Rate",66.5
"887",1986,"MT","Homeownership Rate",64.4
"888",1987,"MT","Homeownership Rate",65
"889",1988,"MT","Homeownership Rate",65.4
"890",1989,"MT","Homeownership Rate",67.9
"891",1990,"MT","Homeownership Rate",69.1
"892",1991,"MT","Homeownership Rate",69.6
"893",1992,"MT","Homeownership Rate",69.9
"894",1993,"MT","Homeownership Rate",69.7
"895",1994,"MT","Homeownership Rate",68.8
"896",1995,"MT","Homeownership Rate",68.7
"897",1996,"MT","Homeownership Rate",68.6
"898",1997,"MT","Homeownership Rate",67.5
"899",1998,"MT","Homeownership Rate",68.6
"900",1999,"MT","Homeownership Rate",70.6
"901",2000,"MT","Homeownership Rate",70.2
"902",2001,"MT","Homeownership Rate",68.3
"903",2002,"MT","Homeownership Rate",69.4
"904",2003,"MT","Homeownership Rate",71.5
"905",2004,"MT","Homeownership Rate",72.4
"906",2005,"MT","Homeownership Rate",70.4
"907",2006,"MT","Homeownership Rate",69.5
"908",2007,"MT","Homeownership Rate",67.3
"909",2008,"MT","Homeownership Rate",70.3
"910",2009,"MT","Homeownership Rate",70.7
"911",2010,"MT","Homeownership Rate",68.1
"912",2011,"MT","Homeownership Rate",68.4
"913",2012,"MT","Homeownership Rate",67.8
"914",2013,"MT","Homeownership Rate",67.4
"915",2014,"MT","Homeownership Rate",66.9
"916",2015,"MT","Homeownership Rate",66.4
"917",2016,"MT","Homeownership Rate",67.1
"918",2017,"MT","Homeownership Rate",67.6
"919",1984,"NE","Homeownership Rate",69.3
"920",1985,"NE","Homeownership Rate",68.5
"921",1986,"NE","Homeownership Rate",68.3
"922",1987,"NE","Homeownership Rate",66.8
"923",1988,"NE","Homeownership Rate",66.6
"924",1989,"NE","Homeownership Rate",67.2
"925",1990,"NE","Homeownership Rate",67.3
"926",1991,"NE","Homeownership Rate",67.5
"927",1992,"NE","Homeownership Rate",68.4
"928",1993,"NE","Homeownership Rate",67.7
"929",1994,"NE","Homeownership Rate",68
"930",1995,"NE","Homeownership Rate",67.1
"931",1996,"NE","Homeownership Rate",66.8
"932",1997,"NE","Homeownership Rate",66.7
"933",1998,"NE","Homeownership Rate",69.9
"934",1999,"NE","Homeownership Rate",70.9
"935",2000,"NE","Homeownership Rate",70.2
"936",2001,"NE","Homeownership Rate",70.1
"937",2002,"NE","Homeownership Rate",68.5
"938",2003,"NE","Homeownership Rate",69.5
"939",2004,"NE","Homeownership Rate",71.2
"940",2005,"NE","Homeownership Rate",70.2
"941",2006,"NE","Homeownership Rate",67.6
"942",2007,"NE","Homeownership Rate",68.2
"943",2008,"NE","Homeownership Rate",69.6
"944",2009,"NE","Homeownership Rate",70.2
"945",2010,"NE","Homeownership Rate",70.4
"946",2011,"NE","Homeownership Rate",68.9
"947",2012,"NE","Homeownership Rate",69.3
"948",2013,"NE","Homeownership Rate",68.2
"949",2014,"NE","Homeownership Rate",66.7
"950",2015,"NE","Homeownership Rate",68.1
"951",2016,"NE","Homeownership Rate",68
"952",2017,"NE","Homeownership Rate",66.1
"953",1984,"NV","Homeownership Rate",58.9
"954",1985,"NV","Homeownership Rate",57
"955",1986,"NV","Homeownership Rate",54.5
"956",1987,"NV","Homeownership Rate",54.1
"957",1988,"NV","Homeownership Rate",54.3
"958",1989,"NV","Homeownership Rate",54.3
"959",1990,"NV","Homeownership Rate",55.8
"960",1991,"NV","Homeownership Rate",55.8
"961",1992,"NV","Homeownership Rate",55.1
"962",1993,"NV","Homeownership Rate",55.8
"963",1994,"NV","Homeownership Rate",55.8
"964",1995,"NV","Homeownership Rate",58.6
"965",1996,"NV","Homeownership Rate",61.1
"966",1997,"NV","Homeownership Rate",61.2
"967",1998,"NV","Homeownership Rate",61.4
"968",1999,"NV","Homeownership Rate",63.7
"969",2000,"NV","Homeownership Rate",64
"970",2001,"NV","Homeownership Rate",64.6
"971",2002,"NV","Homeownership Rate",65.3
"972",2003,"NV","Homeownership Rate",64.8
"973",2004,"NV","Homeownership Rate",65.7
"974",2005,"NV","Homeownership Rate",63.4
"975",2006,"NV","Homeownership Rate",65.7
"976",2007,"NV","Homeownership Rate",63.3
"977",2008,"NV","Homeownership Rate",63.6
"978",2009,"NV","Homeownership Rate",62.4
"979",2010,"NV","Homeownership Rate",59.7
"980",2011,"NV","Homeownership Rate",56.2
"981",2012,"NV","Homeownership Rate",55.7
"982",2013,"NV","Homeownership Rate",56
"983",2014,"NV","Homeownership Rate",56
"984",2015,"NV","Homeownership Rate",54.8
"985",2016,"NV","Homeownership Rate",54.5
"986",2017,"NV","Homeownership Rate",55
"987",1984,"NH","Homeownership Rate",67.1
"988",1985,"NH","Homeownership Rate",65.5
"989",1986,"NH","Homeownership Rate",64.8
"990",1987,"NH","Homeownership Rate",66.4
"991",1988,"NH","Homeownership Rate",67.9
"992",1989,"NH","Homeownership Rate",67
"993",1990,"NH","Homeownership Rate",65
"994",1991,"NH","Homeownership Rate",66.8
"995",1992,"NH","Homeownership Rate",66.6
"996",1993,"NH","Homeownership Rate",65.4
"997",1994,"NH","Homeownership Rate",65.1
"998",1995,"NH","Homeownership Rate",66
"999",1996,"NH","Homeownership Rate",65
"1000",1997,"NH","Homeownership Rate",66.8
"1001",1998,"NH","Homeownership Rate",69.6
"1002",1999,"NH","Homeownership Rate",70.2
"1003",2000,"NH","Homeownership Rate",69.2
"1004",2001,"NH","Homeownership Rate",68.4
"1005",2002,"NH","Homeownership Rate",69.5
"1006",2003,"NH","Homeownership Rate",74.4
"1007",2004,"NH","Homeownership Rate",73.3
"1008",2005,"NH","Homeownership Rate",74
"1009",2006,"NH","Homeownership Rate",74.2
"1010",2007,"NH","Homeownership Rate",73.8
"1011",2008,"NH","Homeownership Rate",75
"1012",2009,"NH","Homeownership Rate",76
"1013",2010,"NH","Homeownership Rate",74.9
"1014",2011,"NH","Homeownership Rate",74.1
"1015",2012,"NH","Homeownership Rate",74.8
"1016",2013,"NH","Homeownership Rate",74.1
"1017",2014,"NH","Homeownership Rate",72.2
"1018",2015,"NH","Homeownership Rate",71.6
"1019",2016,"NH","Homeownership Rate",71.8
"1020",2017,"NH","Homeownership Rate",71.6
"1021",1984,"NJ","Homeownership Rate",63.4
"1022",1985,"NJ","Homeownership Rate",62.3
"1023",1986,"NJ","Homeownership Rate",63.3
"1024",1987,"NJ","Homeownership Rate",64
"1025",1988,"NJ","Homeownership Rate",64.8
"1026",1989,"NJ","Homeownership Rate",65.7
"1027",1990,"NJ","Homeownership Rate",65
"1028",1991,"NJ","Homeownership Rate",64.8
"1029",1992,"NJ","Homeownership Rate",64.6
"1030",1993,"NJ","Homeownership Rate",64.5
"1031",1994,"NJ","Homeownership Rate",64.1
"1032",1995,"NJ","Homeownership Rate",64.9
"1033",1996,"NJ","Homeownership Rate",64.6
"1034",1997,"NJ","Homeownership Rate",63.1
"1035",1998,"NJ","Homeownership Rate",63.1
"1036",1999,"NJ","Homeownership Rate",64.5
"1037",2000,"NJ","Homeownership Rate",66.2
"1038",2001,"NJ","Homeownership Rate",66.5
"1039",2002,"NJ","Homeownership Rate",66.9
"1040",2003,"NJ","Homeownership Rate",66.9
"1041",2004,"NJ","Homeownership Rate",68.8
"1042",2005,"NJ","Homeownership Rate",70.1
"1043",2006,"NJ","Homeownership Rate",69
"1044",2007,"NJ","Homeownership Rate",68.3
"1045",2008,"NJ","Homeownership Rate",67.3
"1046",2009,"NJ","Homeownership Rate",65.9
"1047",2010,"NJ","Homeownership Rate",66.5
"1048",2011,"NJ","Homeownership Rate",66.4
"1049",2012,"NJ","Homeownership Rate",66.6
"1050",2013,"NJ","Homeownership Rate",64.9
"1051",2014,"NJ","Homeownership Rate",65.2
"1052",2015,"NJ","Homeownership Rate",64
"1053",2016,"NJ","Homeownership Rate",62.2
"1054",2017,"NJ","Homeownership Rate",64.1
"1055",1984,"NM","Homeownership Rate",68
"1056",1985,"NM","Homeownership Rate",68.2
"1057",1986,"NM","Homeownership Rate",67.8
"1058",1987,"NM","Homeownership Rate",67.2
"1059",1988,"NM","Homeownership Rate",65.4
"1060",1989,"NM","Homeownership Rate",65.5
"1061",1990,"NM","Homeownership Rate",68.6
"1062",1991,"NM","Homeownership Rate",69.5
"1063",1992,"NM","Homeownership Rate",70.5
"1064",1993,"NM","Homeownership Rate",69.1
"1065",1994,"NM","Homeownership Rate",66.8
"1066",1995,"NM","Homeownership Rate",67
"1067",1996,"NM","Homeownership Rate",67.1
"1068",1997,"NM","Homeownership Rate",69.6
"1069",1998,"NM","Homeownership Rate",71.3
"1070",1999,"NM","Homeownership Rate",72.6
"1071",2000,"NM","Homeownership Rate",73.7
"1072",2001,"NM","Homeownership Rate",70.8
"1073",2002,"NM","Homeownership Rate",70
"1074",2003,"NM","Homeownership Rate",70.3
"1075",2004,"NM","Homeownership Rate",71.5
"1076",2005,"NM","Homeownership Rate",71.4
"1077",2006,"NM","Homeownership Rate",72
"1078",2007,"NM","Homeownership Rate",71.5
"1079",2008,"NM","Homeownership Rate",70.4
"1080",2009,"NM","Homeownership Rate",69.1
"1081",2010,"NM","Homeownership Rate",68.6
"1082",2011,"NM","Homeownership Rate",69.1
"1083",2012,"NM","Homeownership Rate",66.8
"1084",2013,"NM","Homeownership Rate",67.3
"1085",2014,"NM","Homeownership Rate",66.3
"1086",2015,"NM","Homeownership Rate",66.5
"1087",2016,"NM","Homeownership Rate",67.4
"1088",2017,"NM","Homeownership Rate",66.6
"1089",1984,"NY","Homeownership Rate",51.1
"1090",1985,"NY","Homeownership Rate",50.3
"1091",1986,"NY","Homeownership Rate",51.3
"1092",1987,"NY","Homeownership Rate",52
"1093",1988,"NY","Homeownership Rate",50.7
"1094",1989,"NY","Homeownership Rate",52.3
"1095",1990,"NY","Homeownership Rate",53.3
"1096",1991,"NY","Homeownership Rate",52.6
"1097",1992,"NY","Homeownership Rate",53.3
"1098",1993,"NY","Homeownership Rate",52.8
"1099",1994,"NY","Homeownership Rate",52.5
"1100",1995,"NY","Homeownership Rate",52.7
"1101",1996,"NY","Homeownership Rate",52.7
"1102",1997,"NY","Homeownership Rate",52.6
"1103",1998,"NY","Homeownership Rate",52.8
"1104",1999,"NY","Homeownership Rate",52.8
"1105",2000,"NY","Homeownership Rate",53.4
"1106",2001,"NY","Homeownership Rate",53.9
"1107",2002,"NY","Homeownership Rate",54.8
"1108",2003,"NY","Homeownership Rate",54.3
"1109",2004,"NY","Homeownership Rate",54.8
"1110",2005,"NY","Homeownership Rate",55.9
"1111",2006,"NY","Homeownership Rate",55.7
"1112",2007,"NY","Homeownership Rate",55.9
"1113",2008,"NY","Homeownership Rate",55
"1114",2009,"NY","Homeownership Rate",54.4
"1115",2010,"NY","Homeownership Rate",54.5
"1116",2011,"NY","Homeownership Rate",53.6
"1117",2012,"NY","Homeownership Rate",53.6
"1118",2013,"NY","Homeownership Rate",53
"1119",2014,"NY","Homeownership Rate",52.9
"1120",2015,"NY","Homeownership Rate",51.5
"1121",2016,"NY","Homeownership Rate",51.5
"1122",2017,"NY","Homeownership Rate",51.1
"1123",1984,"NC","Homeownership Rate",68.8
"1124",1985,"NC","Homeownership Rate",68
"1125",1986,"NC","Homeownership Rate",68.2
"1126",1987,"NC","Homeownership Rate",68.4
"1127",1988,"NC","Homeownership Rate",68.3
"1128",1989,"NC","Homeownership Rate",69.4
"1129",1990,"NC","Homeownership Rate",69
"1130",1991,"NC","Homeownership Rate",69.3
"1131",1992,"NC","Homeownership Rate",68.6
"1132",1993,"NC","Homeownership Rate",68.8
"1133",1994,"NC","Homeownership Rate",68.7
"1134",1995,"NC","Homeownership Rate",70.1
"1135",1996,"NC","Homeownership Rate",70.4
"1136",1997,"NC","Homeownership Rate",70.2
"1137",1998,"NC","Homeownership Rate",71.3
"1138",1999,"NC","Homeownership Rate",71.7
"1139",2000,"NC","Homeownership Rate",71.1
"1140",2001,"NC","Homeownership Rate",71.3
"1141",2002,"NC","Homeownership Rate",70
"1142",2003,"NC","Homeownership Rate",70
"1143",2004,"NC","Homeownership Rate",69.8
"1144",2005,"NC","Homeownership Rate",70.9
"1145",2006,"NC","Homeownership Rate",70.2
"1146",2007,"NC","Homeownership Rate",70.3
"1147",2008,"NC","Homeownership Rate",69.4
"1148",2009,"NC","Homeownership Rate",70.1
"1149",2010,"NC","Homeownership Rate",69.5
"1150",2011,"NC","Homeownership Rate",68.3
"1151",2012,"NC","Homeownership Rate",67.2
"1152",2013,"NC","Homeownership Rate",67.3
"1153",2014,"NC","Homeownership Rate",66.4
"1154",2015,"NC","Homeownership Rate",65.2
"1155",2016,"NC","Homeownership Rate",65.7
"1156",2017,"NC","Homeownership Rate",66.3
"1157",1984,"ND","Homeownership Rate",70.1
"1158",1985,"ND","Homeownership Rate",69.9
"1159",1986,"ND","Homeownership Rate",69.2
"1160",1987,"ND","Homeownership Rate",68.9
"1161",1988,"ND","Homeownership Rate",67.7
"1162",1989,"ND","Homeownership Rate",67.1
"1163",1990,"ND","Homeownership Rate",67.2
"1164",1991,"ND","Homeownership Rate",65.4
"1165",1992,"ND","Homeownership Rate",63.7
"1166",1993,"ND","Homeownership Rate",62.7
"1167",1994,"ND","Homeownership Rate",63.3
"1168",1995,"ND","Homeownership Rate",67.3
"1169",1996,"ND","Homeownership Rate",68.2
"1170",1997,"ND","Homeownership Rate",68.1
"1171",1998,"ND","Homeownership Rate",68
"1172",1999,"ND","Homeownership Rate",70.1
"1173",2000,"ND","Homeownership Rate",70.7
"1174",2001,"ND","Homeownership Rate",71
"1175",2002,"ND","Homeownership Rate",69.4
"1176",2003,"ND","Homeownership Rate",68.7
"1177",2004,"ND","Homeownership Rate",70
"1178",2005,"ND","Homeownership Rate",68.5
"1179",2006,"ND","Homeownership Rate",68.3
"1180",2007,"ND","Homeownership Rate",66
"1181",2008,"ND","Homeownership Rate",66.6
"1182",2009,"ND","Homeownership Rate",65.7
"1183",2010,"ND","Homeownership Rate",67.1
"1184",2011,"ND","Homeownership Rate",68.3
"1185",2012,"ND","Homeownership Rate",66.2
"1186",2013,"ND","Homeownership Rate",68
"1187",2014,"ND","Homeownership Rate",64.5
"1188",2015,"ND","Homeownership Rate",61.8
"1189",2016,"ND","Homeownership Rate",61.4
"1190",2017,"ND","Homeownership Rate",62.6
"1191",1984,"OH","Homeownership Rate",67.7
"1192",1985,"OH","Homeownership Rate",67.9
"1193",1986,"OH","Homeownership Rate",68.2
"1194",1987,"OH","Homeownership Rate",68.6
"1195",1988,"OH","Homeownership Rate",69.6
"1196",1989,"OH","Homeownership Rate",69.6
"1197",1990,"OH","Homeownership Rate",68.7
"1198",1991,"OH","Homeownership Rate",68.7
"1199",1992,"OH","Homeownership Rate",69.1
"1200",1993,"OH","Homeownership Rate",68.5
"1201",1994,"OH","Homeownership Rate",67.4
"1202",1995,"OH","Homeownership Rate",67.9
"1203",1996,"OH","Homeownership Rate",69.2
"1204",1997,"OH","Homeownership Rate",69
"1205",1998,"OH","Homeownership Rate",70.7
"1206",1999,"OH","Homeownership Rate",70.7
"1207",2000,"OH","Homeownership Rate",71.3
"1208",2001,"OH","Homeownership Rate",71.2
"1209",2002,"OH","Homeownership Rate",72.1
"1210",2003,"OH","Homeownership Rate",72.8
"1211",2004,"OH","Homeownership Rate",73.1
"1212",2005,"OH","Homeownership Rate",73.3
"1213",2006,"OH","Homeownership Rate",72.1
